TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season
1610612737,Atlanta Hawks,77,36,41,0.468,3716.0,3322,7079,0.469,1023,2889,0.354,1391,1791,0.777,915,2503,3418,2262,1197.0,756,402,380,1470,1474,9058,-149.0,13,18,18,18,18,7,5,14,14,16,20,4,6,19,9,23,15,3,25,2,11,15,18,10,5,19,2024-25
1610612738,Boston Celtics,77,57,20,0.74,3721.0,3209,6930,0.463,1370,3718,0.368,1204,1503,0.801,865,2607,3472,2008,905.0,549,424,275,1241,1368,8992,688.0,13,3,3,3,16,16,13,18,1,1,10,29,30,6,14,10,12,18,1,28,5,1,2,27,8,3,2024-25
1610612751,Brooklyn Nets,77,25,52,0.325,3716.0,2899,6641,0.437,1040,3029,0.343,1248,1581,0.789,848,2329,3177,1932,1156.0,601,336,438,1584,1452,8086,-519.0,13,25,25,25,18,30,26,29,13,8,26,26,26,11,16,29,29,24,21,21,27,26,27,15,30,26,2024-25
1610612766,Charlotte Hornets,77,19,58,0.247,3711.0,2960,6882,0.43,1009,2961,0.341,1196,1520,0.787,953,2535,3488,1876,1189.0,575,351,415,1452,1406,8125,-636.0,13,28,28,28,21,29,18,30,19,11,28,30,28,13,6,19,9,26,24,26,21,23,16,23,29,27,2024-25
1610612741,Chicago Bulls,77,35,42,0.455,3711.0,3320,7088,0.468,1195,3250,0.368,1221,1514,0.806,766,2749,3515,2237,1128.0,578,364,398,1362,1296,9056,-178.0,13,19,19,19,21,8,4,15,3,3,11,28,29,3,25,1,5,5,18,25,18,19,6,30,6,20,2024-25
1610612739,Cleveland Cavaliers,77,62,15,0.805,3701.0,3430,6966,0.492,1222,3185,0.384,1331,1696,0.785,846,2629,3475,2170,1005.0,627,328,332,1399,1470,9413,771.0,13,2,2,2,28,3,11,2,2,4,2,13,14,15,17,7,11,9,3,17,28,7,10,11,3,2,2024-25
1610612742,Dallas Mavericks,78,38,40,0.487,3754.0,3286,6868,0.478,984,2686,0.366,1386,1794,0.773,787,2570,3357,1968,1077.0,611,418,361,1401,1464,8942,-39.0,1,15,15,15,10,12,20,9,22,25,13,5,5,22,24,14,21,21,13,20,6,12,11,12,11,17,2024-25
1610612743,Denver Nuggets,78,47,31,0.603,3779.0,3542,7002,0.506,948,2501,0.379,1383,1798,0.769,876,2684,3560,2419,1127.0,631,382,399,1381,1475,9415,293.0,1,6,7,7,2,1,8,1,27,30,4,6,4,24,11,4,3,1,17,13,15,20,7,9,2,9,2024-25
1610612765,Detroit Pistons,78,43,35,0.551,3764.0,3317,6992,0.474,990,2742,0.361,1363,1748,0.78,887,2627,3514,2050,1170.0,629,409,388,1611,1477,8987,170.0,1,13,14,14,6,9,9,13,20,23,17,8,10,17,10,8,6,13,23,16,9,16,28,8,9,12,2024-25
1610612744,Golden State Warriors,77,46,31,0.597,3701.0,3148,6982,0.451,1188,3267,0.364,1285,1687,0.762,969,2534,3503,2241,1074.0,711,371,417,1489,1425,8769,234.0,13,8,7,8,28,21,10,25,4,2,15,20,15,26,5,20,8,4,12,5,16,24,22,21,18,10,2024-25
